"Sample","Clade","rel_abundance","Trait","avg_trait_count","rel_trait_abundance","both_abund"
"1D01","1",0.032258064516129,"Amino Acid Related Enzymes",34.2,0.154355348277418,0.00497920478314253
"1D01","1",0.032258064516129,"CAZymes",34.3666666666667,0.155107567323605,0.00500346991366467
"1D01","1",0.032258064516129,"Chaperones and Folding Catalysts",31.3666666666667,0.141567624492252,0.0045666975642662
"1D01","1",0.032258064516129,"Lipid Biosynthesis Protein",25.2666666666667,0.114036407401835,0.00367859378715598
"1D01","1",0.032258064516129,"Lipopolysaccharide Biosynthesis Proteins",36.9333333333333,0.166691740634873,0.00537715292370558
"1D01","1",0.032258064516129,"Peptidoglycan Biosynthesis and Degredation Proteins",32.8666666666667,0.148337595907928,0.00478508373896543
"1D01","1",0.032258064516129,"Polycyclic Aromatic Hydrocarbon Degredation",0.666666666666667,0.003008876184745,9.70605220885483e-05
"1D01","1",0.032258064516129,"Prokaryotic Defense System",25.9,0.116894839777343,0.0037708012831401
"1D01","10",0.032258064516129,"Amino Acid Related Enzymes",39.5454545454545,0.152631578947368,0.00492359932088285
"1D01","10",0.032258064516129,"CAZymes",31.4545454545455,0.12140350877193,0.00391624221844935
"1D01","10",0.032258064516129,"Chaperones and Folding Catalysts",39.5454545454545,0.152631578947368,0.00492359932088285
"1D01","10",0.032258064516129,"Lipid Biosynthesis Protein",34.8181818181818,0.134385964912281,0.0043350311262026
"1D01","10",0.032258064516129,"Lipopolysaccharide Biosynthesis Proteins",42.5454545454545,0.164210526315789,0.00529711375212224
"1D01","10",0.032258064516129,"Peptidoglycan Biosynthesis and Degredation Proteins",30.5454545454545,0.117894736842105,0.00380305602716469
"1D01","10",0.032258064516129,"Polycyclic Aromatic Hydrocarbon Degredation",2.18181818181818,0.00842105263157895,0.000271646859083192
"1D01","10",0.032258064516129,"Prokaryotic Defense System",38.4545454545455,0.148421052631579,0.00478777589134126
"1D01","11",0,"Amino Acid Related Enzymes",36.75,0.171129220023283,0
"1D01","11",0,"CAZymes",20.25,0.0942956926658906,0
"1D01","11",0,"Chaperones and Folding Catalysts",31.25,0.145518044237485,0
"1D01","11",0,"Lipid Biosynthesis Protein",26.375,0.122817229336438,0
"1D01","11",0,"Lipopolysaccharide Biosynthesis Proteins",38.625,0.179860302677532,0
"1D01","11",0,"Peptidoglycan Biosynthesis and Degredation Proteins",30.625,0.142607683352736,0
"1D01","11",0,"Polycyclic Aromatic Hydrocarbon Degredation",2.125,0.00989522700814901,0
"1D01","11",0,"Prokaryotic Defense System",28.75,0.133876600698487,0
"1D01","12",0.0645161290322581,"Amino Acid Related Enzymes",38.2727272727273,0.15969149070679,0.0103026768197929
"1D01","12",0.0645161290322581,"CAZymes",27.9393939393939,0.116576052598306,0.00752103565150359
"1D01","12",0.0645161290322581,"Chaperones and Folding Catalysts",33.3939393939394,0.139334934884309,0.00898935063769736
"1D01","12",0.0645161290322581,"Lipid Biosynthesis Protein",35.8181818181818,0.149449993678088,0.00964193507600569
"1D01","12",0.0645161290322581,"Lipopolysaccharide Biosynthesis Proteins",43.2727272727273,0.180553799468959,0.0116486322238038
"1D01","12",0.0645161290322581,"Peptidoglycan Biosynthesis and Degredation Proteins",29.3939393939394,0.122645087874573,0.0079125863144886
"1D01","12",0.0645161290322581,"Polycyclic Aromatic Hydrocarbon Degredation",1.96969696969697,0.00821848526994563,0.000530224856125525
"1D01","12",0.0645161290322581,"Prokaryotic Defense System",29.6060606060606,0.123530155519029,0.00796968745284058
"1D01","2",0.032258064516129,"Amino Acid Related Enzymes",33.5,0.156816851960211,0.00505860812774873
"1D01","2",0.032258064516129,"CAZymes",27.9375,0.130778232884728,0.0042186526737009
"1D01","2",0.032258064516129,"Chaperones and Folding Catalysts",29.5625,0.138385020479813,0.00446403291870364
"1D01","2",0.032258064516129,"Lipid Biosynthesis Protein",23.5,0.110005851375073,0.00354857585080881
"1D01","2",0.032258064516129,"Lipopolysaccharide Biosynthesis Proteins",35.375,0.165593914569924,0.00534173917967496
"1D01","2",0.032258064516129,"Peptidoglycan Biosynthesis and Degredation Proteins",33.125,0.155061439438268,0.00500198191736348
"1D01","2",0.032258064516129,"Polycyclic Aromatic Hydrocarbon Degredation",0.3125,0.00146284376828555,4.71885086543725e-05
"1D01","2",0.032258064516129,"Prokaryotic Defense System",30.3125,0.141895845523698,0.00457728533947413
"1D01","3",0.0645161290322581,"Amino Acid Related Enzymes",35.7272727272727,0.166208500740114,0.0107231290800074
"1D01","3",0.0645161290322581,"CAZymes",29.7272727272727,0.138295622753225,0.00892229824214353
"1D01","3",0.0645161290322581,"Chaperones and Folding Catalysts",32.3636363636364,0.150560372171707,0.00971357239817461
